"num_critic_for_reviews","duration","director_facebook_likes","gross","num_voted_users","facenumber_in_poster","num_user_for_reviews","language","country","content_rating","imdb_score","movie_facebook_likes","length_of_title","years","average_actor_likes","genres_new"
723,178,0,760505847,886204,0,3054,"English","USA","PG-13",7.9,33000,6,9,930,"Action"
302,169,563,309404152,471220,0,1238,"English","USA","PG-13",7.1,0,40,11,15333,"Action"
602,148,0,200074175,275868,1,994,"English","UK","PG-13",6.8,85000,7,3,3851,"Action"
813,164,22000,448130642,1144337,0,2701,"English","USA","PG-13",8.5,164000,21,6,24333,"Action"
462,132,475,73058679,212204,1,738,"English","USA","PG-13",6.6,24000,11,6,601,"Action"
392,156,0,336530303,383056,0,1902,"English","USA","PG-13",6.2,0,12,11,13000,"Action"
324,100,15,200807262,294810,1,387,"English","USA","PG",7.8,29000,7,8,545,"Adventure"
635,141,0,458991599,462669,4,1117,"English","USA","PG-13",7.5,118000,23,3,22000,"Action"
375,153,282,301956980,321795,3,973,"English","UK","PG",7.5,10000,38,9,15333,"Adventure"
673,183,0,330249062,371639,0,3018,"English","USA","PG-13",6.9,197000,34,2,7000,"Action"
434,169,0,200069408,240396,0,2367,"English","USA","PG-13",6.1,0,16,12,9634,"Action"
403,106,395,168368427,330784,1,1243,"English","UK","PG-13",6.7,0,17,10,419,"Action"
313,151,563,423032628,522040,2,1832,"English","USA","PG-13",7.3,5000,42,12,15333,"Action"
450,150,563,89289910,181792,1,711,"English","USA","PG-13",6.5,48000,15,5,14333,"Action"
733,143,0,291021565,548573,0,2536,"English","USA","PG-13",7.2,118000,12,5,6249,"Action"
258,150,80,141614023,149922,4,438,"English","USA","PG",6.6,0,40,10,7472,"Action"
703,173,0,623279547,995415,3,1722,"English","USA","PG-13",8.1,123000,12,6,22000,"Action"
448,136,252,241063875,370704,4,484,"English","USA","PG-13",6.7,58000,43,7,17333,"Action"
451,106,188,179020854,268154,1,341,"English","USA","PG-13",6.8,40000,14,6,3845,"Action"
422,164,0,255108370,354228,0,802,"English","New Zealand","PG-13",7.5,65000,41,4,2248,"Adventure"
599,153,464,262030663,451803,0,1225,"English","USA","PG-13",7,56000,22,6,8654,"Action"
343,156,0,105219735,211765,0,546,"English","USA","PG-13",6.7,17000,10,8,837,"Action"
509,186,0,258355354,483540,6,951,"English","USA","PG-13",7.9,83000,35,5,2248,"Adventure"
251,113,129,70083519,149019,2,666,"English","USA","PG-13",6.1,0,18,11,7667,"Adventure"
446,201,0,218051260,316018,0,2618,"English","New Zealand","PG-13",7.2,0,9,13,2334,"Action"
315,194,0,658672302,793059,0,2528,"English","USA","PG-13",7.7,26000,7,21,14598,"Drama"
516,147,94,407197282,272670,0,1022,"English","USA","PG-13",8.2,72000,26,2,17000,"Action"
377,131,532,65173160,202382,0,751,"English","USA","PG-13",5.9,44000,10,6,8209,"Action"
644,124,365,652177271,418214,0,1290,"English","USA","PG-13",7,150000,14,3,2000,"Action"
750,143,0,304360277,522030,0,1498,"English","UK","PG-13",7.8,80000,7,6,613,"Action"
300,135,0,373377893,411164,1,1303,"English","USA","PG-13",7.3,0,12,14,13000,"Action"
